dataset	sample_name	depth	purity	damage_extent	damage_type	genuine_mutation_rate	base_error_rate
sim_200x	sim_200x_01_01_01	200	0.90	0.95	oxog	0.05	0.001
sim_200x	sim_200x_01_01_02	200	0.90	0.9	oxog	0.05	0.001
sim_200x	sim_200x_01_01_03	200	0.90	0.8	oxog	0.05	0.001
sim_200x	sim_200x_01_01_04	200	0.90	0.7	oxog	0.05	0.001
sim_200x	sim_200x_01_01_05	200	0.90	0.6	oxog	0.05	0.001
sim_200x	sim_200x_01_01_06	200	0.90	0.5	oxog	0.05	0.001
sim_200x	sim_200x_01_01_07	200	0.90	0.4	oxog	0.05	0.001
sim_200x	sim_200x_01_01_08	200	0.90	0.3	oxog	0.05	0.001
sim_200x	sim_200x_01_01_09	200	0.90	0.2	oxog	0.05	0.001
sim_200x	sim_200x_01_01_10	200	0.90	0.1	oxog	0.05	0.001
sim_200x	sim_200x_01_01_11	200	0.90	0.05	oxog	0.05	0.001
sim_200x	sim_200x_01_01_12	200	0.90	0.025	oxog	0.05	0.001
sim_200x	sim_200x_02_01_01	200	0.75	0.95	oxog	0.05	0.001
sim_200x	sim_200x_02_01_02	200	0.75	0.9	oxog	0.05	0.001
sim_200x	sim_200x_02_01_03	200	0.75	0.8	oxog	0.05	0.001
sim_200x	sim_200x_02_01_04	200	0.75	0.7	oxog	0.05	0.001
sim_200x	sim_200x_02_01_05	200	0.75	0.6	oxog	0.05	0.001
sim_200x	sim_200x_02_01_06	200	0.75	0.5	oxog	0.05	0.001
sim_200x	sim_200x_02_01_07	200	0.75	0.4	oxog	0.05	0.001
sim_200x	sim_200x_02_01_08	200	0.75	0.3	oxog	0.05	0.001
sim_200x	sim_200x_02_01_09	200	0.75	0.2	oxog	0.05	0.001
sim_200x	sim_200x_02_01_10	200	0.75	0.1	oxog	0.05	0.001
sim_200x	sim_200x_02_01_11	200	0.75	0.05	oxog	0.05	0.001
sim_200x	sim_200x_02_01_12	200	0.75	0.025	oxog	0.05	0.001
sim_200x	sim_200x_03_01_01	200	0.50	0.95	oxog	0.05	0.001
sim_200x	sim_200x_03_01_02	200	0.50	0.9	oxog	0.05	0.001
sim_200x	sim_200x_03_01_03	200	0.50	0.8	oxog	0.05	0.001
sim_200x	sim_200x_03_01_04	200	0.50	0.7	oxog	0.05	0.001
sim_200x	sim_200x_03_01_05	200	0.50	0.6	oxog	0.05	0.001
sim_200x	sim_200x_03_01_06	200	0.50	0.5	oxog	0.05	0.001
sim_200x	sim_200x_03_01_07	200	0.50	0.4	oxog	0.05	0.001
sim_200x	sim_200x_03_01_08	200	0.50	0.3	oxog	0.05	0.001
sim_200x	sim_200x_03_01_09	200	0.50	0.2	oxog	0.05	0.001
sim_200x	sim_200x_03_01_10	200	0.50	0.1	oxog	0.05	0.001
sim_200x	sim_200x_03_01_11	200	0.50	0.05	oxog	0.05	0.001
sim_200x	sim_200x_03_01_12	200	0.50	0.025	oxog	0.05	0.001
sim_200x	sim_200x_04_01_01	200	0.25	0.95	oxog	0.05	0.001
sim_200x	sim_200x_04_01_02	200	0.25	0.9	oxog	0.05	0.001
sim_200x	sim_200x_04_01_03	200	0.25	0.8	oxog	0.05	0.001
sim_200x	sim_200x_04_01_04	200	0.25	0.7	oxog	0.05	0.001
sim_200x	sim_200x_04_01_05	200	0.25	0.6	oxog	0.05	0.001
sim_200x	sim_200x_04_01_06	200	0.25	0.5	oxog	0.05	0.001
sim_200x	sim_200x_04_01_07	200	0.25	0.4	oxog	0.05	0.001
sim_200x	sim_200x_04_01_08	200	0.25	0.3	oxog	0.05	0.001
sim_200x	sim_200x_04_01_09	200	0.25	0.2	oxog	0.05	0.001
sim_200x	sim_200x_04_01_10	200	0.25	0.1	oxog	0.05	0.001
sim_200x	sim_200x_04_01_11	200	0.25	0.05	oxog	0.05	0.001
sim_200x	sim_200x_04_01_12	200	0.25	0.025	oxog	0.05	0.001
sim_200x	sim_200x_05_01_01	200	0.10	0.95	oxog	0.05	0.001
sim_200x	sim_200x_05_01_02	200	0.10	0.9	oxog	0.05	0.001
sim_200x	sim_200x_05_01_03	200	0.10	0.8	oxog	0.05	0.001
sim_200x	sim_200x_05_01_04	200	0.10	0.7	oxog	0.05	0.001
sim_200x	sim_200x_05_01_05	200	0.10	0.6	oxog	0.05	0.001
sim_200x	sim_200x_05_01_06	200	0.10	0.5	oxog	0.05	0.001
sim_200x	sim_200x_05_01_07	200	0.10	0.4	oxog	0.05	0.001
sim_200x	sim_200x_05_01_08	200	0.10	0.3	oxog	0.05	0.001
sim_200x	sim_200x_05_01_09	200	0.10	0.2	oxog	0.05	0.001
sim_200x	sim_200x_05_01_10	200	0.10	0.1	oxog	0.05	0.001
sim_200x	sim_200x_05_01_11	200	0.10	0.05	oxog	0.05	0.001
sim_200x	sim_200x_05_01_12	200	0.10	0.025	oxog	0.05	0.001
sim_200x	sim_200x_06_01_01	200	0.05	0.95	oxog	0.05	0.001
sim_200x	sim_200x_06_01_02	200	0.05	0.9	oxog	0.05	0.001
sim_200x	sim_200x_06_01_03	200	0.05	0.8	oxog	0.05	0.001
sim_200x	sim_200x_06_01_04	200	0.05	0.7	oxog	0.05	0.001
sim_200x	sim_200x_06_01_05	200	0.05	0.6	oxog	0.05	0.001
sim_200x	sim_200x_06_01_06	200	0.05	0.5	oxog	0.05	0.001
sim_200x	sim_200x_06_01_07	200	0.05	0.4	oxog	0.05	0.001
sim_200x	sim_200x_06_01_08	200	0.05	0.3	oxog	0.05	0.001
sim_200x	sim_200x_06_01_09	200	0.05	0.2	oxog	0.05	0.001
sim_200x	sim_200x_06_01_10	200	0.05	0.1	oxog	0.05	0.001
sim_200x	sim_200x_06_01_11	200	0.05	0.05	oxog	0.05	0.001
sim_200x	sim_200x_06_01_12	200	0.05	0.025	oxog	0.05	0.001
sim_200x	sim_200x_07_01_01	200	0.01	0.95	oxog	0.05	0.001
sim_200x	sim_200x_07_01_02	200	0.01	0.9	oxog	0.05	0.001
sim_200x	sim_200x_07_01_03	200	0.01	0.8	oxog	0.05	0.001
sim_200x	sim_200x_07_01_04	200	0.01	0.7	oxog	0.05	0.001
sim_200x	sim_200x_07_01_05	200	0.01	0.6	oxog	0.05	0.001
sim_200x	sim_200x_07_01_06	200	0.01	0.5	oxog	0.05	0.001
sim_200x	sim_200x_07_01_07	200	0.01	0.4	oxog	0.05	0.001
sim_200x	sim_200x_07_01_08	200	0.01	0.3	oxog	0.05	0.001
sim_200x	sim_200x_07_01_09	200	0.01	0.2	oxog	0.05	0.001
sim_200x	sim_200x_07_01_10	200	0.01	0.1	oxog	0.05	0.001
sim_200x	sim_200x_07_01_11	200	0.01	0.05	oxog	0.05	0.001
sim_200x	sim_200x_07_01_12	200	0.01	0.025	oxog	0.05	0.001
